Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH02;        2020;          30;26.07.2020;65+     ;         240;         252;         211;         293;           .
CH02;        2020;          31;02.08.2020;65+     ;         264;         252;         211;         293;           .
CH02;        2020;          32;09.08.2020;65+     ;         224;         252;         211;         293;           .
CH02;        2020;          33;16.08.2020;65+     ;         246;         252;         211;         293;           .
CH02;        2020;          34;23.08.2020;65+     ;         257;         252;         211;         293;           .
CH02;        2020;          35;30.08.2020;65+     ;         260;         253;         212;         294;           .
CH02;        2020;          36;06.09.2020;65+     ;         248;         254;         213;         296;           .
CH02;        2020;          37;13.09.2020;65+     ;         271;         256;         215;         297;           .
CH02;        2020;          38;20.09.2020;65+     ;         257;         258;         217;         299;           .
CH02;        2020;          39;27.09.2020;65+     ;         251;         260;         218;         301;           .
CH02;        2020;          40;04.10.2020;65+     ;         256;         261;         220;         303;           .
CH02;        2020;          41;11.10.2020;65+     ;         272;         263;         221;         305;           .
CH02;        2020;          42;18.10.2020;65+     ;         273;         265;         223;         307;           .
CH02;        2020;          43;25.10.2020;65+     ;         311;         267;         225;         309;          44
CH02;        2020;          44;01.11.2020;65+     ;         389;         269;         226;         311;         120
CH02;        2020;          45;08.11.2020;65+     ;         450;         274;         231;         316;         176
CH02;        2020;          46;15.11.2020;65+     ;         504;         278;         235;         321;         226
CH02;        2020;          47;22.11.2020;65+     ;         479;         283;         240;         327;         196
CH02;        2020;          48;29.11.2020;65+     ;         458;         288;         244;         331;         170
CH02;        2020;          49;06.12.2020;65+     ;         475;         292;         248;         336;         183
CH02;        2020;          50;13.12.2020;65+     ;         460;         295;         251;         339;         165
CH02;        2020;          51;20.12.2020;65+     ;         455;         299;         254;         343;         156
CH02;        2020;          52;27.12.2020;65+     ;         410;         302;         257;         347;         108
CH02;        2020;          53;03.01.2021;65+     ;         415;         305;         260;         350;         110
CH02;        2021;           1;10.01.2021;65+     ;         408;         297;         253;         341;         111
CH02;        2021;           2;17.01.2021;65+     ;         326;         299;         255;         344;           .
CH02;        2021;           3;24.01.2021;65+     ;         359;         302;         257;         346;          57
CH02;        2021;           4;31.01.2021;65+     ;         346;         304;         259;         349;           .
CH02;        2021;           5;07.02.2021;65+     ;         277;         307;         262;         353;           .
CH02;        2021;           6;14.02.2021;65+     ;         312;         311;         265;         356;           .
CH02;        2021;           7;21.02.2021;65+     ;         278;         313;         268;         359;           .
CH02;        2021;           8;28.02.2021;65+     ;         277;         312;         267;         358;           .
CH02;        2021;           9;07.03.2021;65+     ;         282;         311;         265;         356;           .
CH02;        2021;          10;14.03.2021;65+     ;         267;         305;         260;         350;           .
CH02;        2021;          11;21.03.2021;65+     ;         236;         299;         255;         344;           .
CH02;        2021;          12;28.03.2021;65+     ;         258;         292;         248;         336;           .
CH02;        2021;          13;04.04.2021;65+     ;         253;         284;         240;         327;           .
CH02;        2021;          14;11.04.2021;65+     ;         246;         278;         235;         321;           .
CH02;        2021;          15;18.04.2021;65+     ;         257;         273;         230;         316;           .
CH02;        2021;          16;25.04.2021;65+     ;         255;         268;         226;         310;           .
CH02;        2021;          17;02.05.2021;65+     ;         259;         263;         221;         305;           .
CH02;        2021;          18;09.05.2021;65+     ;         280;         258;         217;         300;           .
CH02;        2021;          19;16.05.2021;65+     ;         239;         254;         213;         295;           .
CH02;        2021;          20;23.05.2021;65+     ;         253;         251;         210;         291;           .
CH02;        2021;          21;30.05.2021;65+     ;         230;         248;         208;         289;           .
CH02;        2021;          22;06.06.2021;65+     ;         269;         248;         208;         289;           .
CH02;        2021;          23;13.06.2021;65+     ;         213;         249;         208;         289;           .
CH02;        2021;          24;20.06.2021;65+     ;         256;         249;         209;         290;           .
CH02;        2021;          25;27.06.2021;65+     ;         238;         251;         210;         291;           .
CH02;        2021;          26;04.07.2021;65+     ;         240;         252;         211;         293;           .
CH02;        2021;          27;11.07.2021;65+     ;         242;         253;         212;         294;           .
CH02;        2021;          28;18.07.2021;65+     ;         254;         252;         211;         293;           .
CH02;        2021;          29;25.07.2021;65+     ;         243;         252;         211;         293;           .
CH02;        2021;          30;01.08.2021;65+     ;         233;         252;         211;         293;           .
CH02;        2021;          31;08.08.2021;65+     ;         248;         252;         211;         293;           .
CH02;        2021;          32;15.08.2021;65+     ;         316;         252;         211;         293;          64
CH02;        2021;          33;22.08.2021;65+     ;         244;         252;         211;         293;           .
CH02;        2021;          34;29.08.2021;65+     ;         274;         252;         211;         293;           .
CH02;        2021;          35;05.09.2021;65+     ;         258;         253;         212;         294;           .
CH02;        2021;          36;12.09.2021;65+     ;         270;         254;         213;         296;           .
CH02;        2021;          37;19.09.2021;65+     ;         273;         256;         215;         297;           .
CH02;        2021;          38;26.09.2021;65+     ;         277;         258;         217;         299;           .
CH02;        2021;          39;03.10.2021;65+     ;         293;         260;         218;         301;           .
CH02;        2021;          40;10.10.2021;65+     ;         274;         261;         220;         303;           .
CH02;        2021;          41;17.10.2021;65+     ;         257;         263;         221;         305;           .
CH02;        2021;          42;24.10.2021;65+     ;         282;         265;         223;         307;           .
CH02;        2021;          43;31.10.2021;65+     ;         293;         267;         225;         309;           .
CH02;        2021;          44;07.11.2021;65+     ;         282;         269;         226;         311;           .
CH02;        2021;          45;14.11.2021;65+     ;         308;         274;         231;         316;           .
CH02;        2021;          46;21.11.2021;65+     ;         296;         278;         235;         321;           .
CH02;        2021;          47;28.11.2021;65+     ;         340;         283;         240;         327;          57
CH02;        2021;          48;05.12.2021;65+     ;         391;         288;         244;         331;         103
CH02;        2021;          49;12.12.2021;65+     ;         381;         292;         248;         336;          89
CH02;        2021;          50;19.12.2021;65+     ;         382;         295;         251;         339;          87
CH02;        2021;          51;26.12.2021;65+     ;         320;         299;         254;         343;           .
CH02;        2021;          52;02.01.2022;65+     ;       356.3;         302;         257;         347;        54.3
CH02;        2022;           1;09.01.2022;65+     ;       307.3;         291;         248;         336;           .
CH02;        2022;           2;16.01.2022;65+     ;       342.6;         293;         250;         338;        49.6
CH02;        2022;           3;23.01.2022;65+     ;       301.6;         296;         253;         341;           .
CH02;        2022;           4;30.01.2022;65+     ;       325.8;         299;         255;         344;           .
CH02;        2022;           5;06.02.2022;65+     ;           .;         301;         258;         347;           .
CH02;        2022;           6;13.02.2022;65+     ;           .;         304;         260;         350;           .
CH02;        2022;           7;20.02.2022;65+     ;           .;         306;         262;         352;           .
CH02;        2022;           8;27.02.2022;65+     ;           .;         304;         260;         350;           .
CH02;        2022;           9;06.03.2022;65+     ;           .;         302;         258;         347;           .
CH02;        2022;          10;13.03.2022;65+     ;           .;         296;         253;         341;           .
CH02;        2022;          11;20.03.2022;65+     ;           .;         291;         248;         335;           .
CH02;        2022;          12;27.03.2022;65+     ;           .;         283;         241;         328;           .
CH02;        2022;          13;03.04.2022;65+     ;           .;         276;         234;         320;           .
CH02;        2022;          14;10.04.2022;65+     ;           .;         271;         230;         315;           .
CH02;        2022;          15;17.04.2022;65+     ;           .;         267;         226;         310;           .
CH02;        2022;          16;24.04.2022;65+     ;           .;         263;         222;         305;           .
CH02;        2022;          17;01.05.2022;65+     ;           .;         258;         218;         300;           .
CH02;        2022;          18;08.05.2022;65+     ;           .;         254;         213;         295;           .
CH02;        2022;          19;15.05.2022;65+     ;           .;         250;         210;         291;           .
CH02;        2022;          20;22.05.2022;65+     ;           .;         246;         206;         287;           .
CH02;        2022;          21;29.05.2022;65+     ;           .;         243;         204;         284;           .
CH02;        2022;          22;05.06.2022;65+     ;           .;         243;         204;         285;           .
CH02;        2022;          23;12.06.2022;65+     ;           .;         244;         205;         285;           .
CH02;        2022;          24;19.06.2022;65+     ;           .;         245;         206;         286;           .
CH02;        2022;          25;26.06.2022;65+     ;           .;         246;         206;         287;           .
CH02;        2022;          26;03.07.2022;65+     ;           .;         246;         207;         288;           .
CH02;        2022;          27;10.07.2022;65+     ;           .;         247;         207;         288;           .
CH02;        2022;          28;17.07.2022;65+     ;           .;         246;         206;         287;           .
CH02;        2022;          29;24.07.2022;65+     ;           .;         245;         206;         287;           .
CH02;        2022;          30;31.07.2022;65+     ;           .;         246;         207;         287;           .
CH02;        2022;          31;07.08.2022;65+     ;           .;         247;         207;         288;           .
CH02;        2022;          32;14.08.2022;65+     ;           .;         248;         209;         290;           .
CH02;        2022;          33;21.08.2022;65+     ;           .;         250;         210;         291;           .
CH02;        2022;          34;28.08.2022;65+     ;           .;         251;         211;         293;           .
CH02;        2022;          35;04.09.2022;65+     ;           .;         252;         212;         294;           .
CH02;        2022;          36;11.09.2022;65+     ;           .;         253;         213;         295;           .
CH02;        2022;          37;18.09.2022;65+     ;           .;         254;         214;         296;           .
CH02;        2022;          38;25.09.2022;65+     ;           .;         255;         215;         297;           .
CH02;        2022;          39;02.10.2022;65+     ;           .;         256;         216;         298;           .
CH02;        2022;          40;09.10.2022;65+     ;           .;         258;         217;         300;           .
CH02;        2022;          41;16.10.2022;65+     ;           .;         260;         219;         302;           .
CH02;        2022;          42;23.10.2022;65+     ;           .;         262;         221;         304;           .
CH02;        2022;          43;30.10.2022;65+     ;           .;         263;         223;         306;           .
CH02;        2022;          44;06.11.2022;65+     ;           .;         265;         224;         308;           .
CH02;        2022;          45;13.11.2022;65+     ;           .;         269;         228;         312;           .
CH02;        2022;          46;20.11.2022;65+     ;           .;         273;         232;         317;           .
CH02;        2022;          47;27.11.2022;65+     ;           .;         278;         236;         322;           .
CH02;        2022;          48;04.12.2022;65+     ;           .;         282;         240;         327;           .
CH02;        2022;          49;11.12.2022;65+     ;           .;         287;         244;         331;           .
CH02;        2022;          50;18.12.2022;65+     ;           .;         291;         248;         336;           .
CH02;        2022;          51;25.12.2022;65+     ;           .;         295;         252;         340;           .
CH02;        2022;          52;01.01.2023;65+     ;           .;         299;         256;         345;           .
CH03;        2020;           1;05.01.2020;65+     ;         175;         174;         140;         208;           .
CH03;        2020;           2;12.01.2020;65+     ;         186;         174;         140;         208;           .
CH03;        2020;           3;19.01.2020;65+     ;         175;         174;         140;         208;           .
CH03;        2020;           4;26.01.2020;65+     ;         166;         174;         140;         208;           .
CH03;        2020;           5;02.02.2020;65+     ;         176;         174;         140;         208;           .
CH03;        2020;           6;09.02.2020;65+     ;         182;         174;         140;         208;           .
CH03;        2020;           7;16.02.2020;65+     ;         171;         174;         140;         208;           .
CH03;        2020;           8;23.02.2020;65+     ;         176;         173;         139;         207;           .
CH03;        2020;           9;01.03.2020;65+     ;         177;         172;         138;         206;           .
CH03;        2020;          10;08.03.2020;65+     ;         158;         170;         137;         204;           .
CH03;        2020;          11;15.03.2020;65+     ;         171;         168;         135;         202;           .
CH03;        2020;          12;22.03.2020;65+     ;         198;         165;         132;         199;           .
CH03;        2020;          13;29.03.2020;65+     ;         199;         162;         130;         195;          37
CH03;        2020;          14;05.04.2020;65+     ;         226;         160;         127;         192;          66
CH03;        2020;          15;12.04.2020;65+     ;         177;         157;         124;         189;           .
CH03;        2020;          16;19.04.2020;65+     ;         182;         154;         122;         186;           .
CH03;        2020;          17;26.04.2020;65+     ;         134;         152;         120;         184;           .
CH03;        2020;          18;03.05.2020;65+     ;         162;         150;         119;         182;           .
CH03;        2020;          19;10.05.2020;65+     ;         142;         149;         117;         180;           .
CH03;        2020;          20;17.05.2020;65+     ;         132;         148;         116;         179;           .
CH03;        2020;          21;24.05.2020;65+     ;         150;         146;         115;         177;           .
CH03;        2020;          22;31.05.2020;65+     ;         121;         146;         115;         177;           .
CH03;        2020;          23;07.06.2020;65+     ;         121;         146;         115;         177;           .
CH03;        2020;          24;14.06.2020;65+     ;         140;         146;         114;         177;           .
CH03;        2020;          25;21.06.2020;65+     ;         118;         145;         114;         176;           .
CH03;        2020;          26;28.06.2020;65+     ;         147;         145;         114;         176;           .
CH03;        2020;          27;05.07.2020;65+     ;         148;         145;         114;         176;           .
CH03;        2020;          28;12.07.2020;65+     ;         151;         145;         114;         176;           .
CH03;        2020;          29;19.07.2020;65+     ;         153;         145;         114;         176;           .
CH03;        2020;          30;26.07.2020;65+     ;         142;         145;         114;         176;           .
CH03;        2020;          31;02.08.2020;65+     ;         157;         145;         114;         176;           .
CH03;        2020;          32;09.08.2020;65+     ;         162;         145;         114;         176;           .
CH03;        2020;          33;16.08.2020;65+     ;         169;         144;         113;         175;           .
CH03;        2020;          34;23.08.2020;65+     ;         160;         144;         113;         175;           .
CH03;        2020;          35;30.08.2020;65+     ;         154;         145;         114;         176;           .
CH03;        2020;          36;06.09.2020;65+     ;         119;         146;         115;         177;           .
CH03;        2020;          37;13.09.2020;65+     ;         152;         147;         116;         178;           .
CH03;        2020;          38;20.09.2020;65+     ;         163;         149;         117;         180;           .
CH03;        2020;          39;27.09.2020;65+     ;         133;         151;         119;         182;           .
CH03;        2020;          40;04.10.2020;65+     ;         156;         153;         121;         185;           .
CH03;        2020;          41;11.10.2020;65+     ;         169;         155;         123;         187;           .
CH03;        2020;          42;18.10.2020;65+     ;         166;         157;         125;         190;           .
CH03;        2020;          43;25.10.2020;65+     ;         164;         159;         127;         192;           .
CH03;        2020;          44;01.11.2020;65+     ;         176;         161;         128;         194;           .
CH03;        2020;          45;08.11.2020;65+     ;         195;         162;         129;         195;          33
CH03;        2020;          46;15.11.2020;65+     ;         196;         163;         130;         196;          33
CH03;        2020;          47;22.11.2020;65+     ;         221;         164;         131;         197;          57
CH03;        2020;          48;29.11.2020;65+     ;         221;         165;         132;         198;          56
CH03;        2020;          49;06.12.2020;65+     ;         282;         166;         133;         199;         116
CH03;        2020;          50;13.12.2020;65+     ;         243;         167;         134;         200;          76
CH03;        2020;          51;20.12.2020;65+     ;         316;         168;         135;         201;         148
